,Model,Testing Location,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
16,"(1, 'donovan', 19)","(1, 'donovan', 19)",2.7375164266592686,3.706071809485301,0.6504313995392476,0.09785275522999419
5,"(1, 'donovan', 21)","(1, 'donovan', 21)",2.5619471540928807,4.037254074978813,0.6087163009340486,0.10659708044217951
8,"(1, 'elcajon', 11)","(1, 'elcajon', 11)",2.324967818406306,5.472218579513348,0.4336023785999217,0.14457502130540303
2,"(1, 'elcajon', 12)","(1, 'elcajon', 12)",2.402661954772199,5.612723243473126,0.4480921973685144,0.1482871290164404
9,"(1, 'elcajon', 13)","(1, 'elcajon', 13)",2.1965362021301207,4.34553979959644,0.4096501097281061,0.11480837250583727
0,"(1, 'shafter', 15)","(1, 'shafter', 15)",3.4401692579167835,6.554839083031965,0.5094331868413164,0.19977035440389945
6,"(1, 'shafter', 18)","(1, 'shafter', 18)",2.295448234645547,4.9972960070143655,0.4110667627081234,0.1519400907830943
14,"(2, 'donovan', 15)","(2, 'donovan', 15)",6.737054655418275,8.302731543500663,0.6342509963886646,0.1933781069425433
22,"(2, 'donovan', 18)","(2, 'donovan', 18)",6.357160550809198,7.346828178173487,0.6122473079958075,0.17229620493381714
4,"(2, 'donovan', 20)","(2, 'donovan', 20)",6.772713842261998,8.019577223553464,0.6522685379124232,0.18807336816409095
13,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",3.9111714827419424,9.543788869644928,0.34741844704814917,0.2502248928156536
1,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",4.4430257144711085,8.165457740043452,0.3956308301046073,0.21395641237178695
3,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",4.251624991629812,7.499041323151765,0.37858748358205896,0.19649455410944197
20,"(2, 'shafter', 11)","(2, 'shafter', 11)",4.479666243434781,7.8817790098358085,0.33367805912971776,0.24980353415653503
21,"(2, 'shafter', 12)","(2, 'shafter', 12)",4.5863816689941945,8.109687112964409,0.34120156664237844,0.2564573729890341
11,"(2, 'shafter', 13)","(2, 'shafter', 13)",4.607533937818523,8.82669609102269,0.3397657246741925,0.2810406718415482
23,"(3, 'donovan', 11)","(3, 'donovan', 11)",5.153483039194855,5.615966734849038,0.4345836211352188,0.18776860994271682
15,"(3, 'donovan', 12)","(3, 'donovan', 12)",3.981553635080977,6.261528432112199,0.33566396223669925,0.20943252365371692
12,"(3, 'donovan', 13)","(3, 'donovan', 13)",6.411942438354606,8.47768182225639,0.5461422856788056,0.28496654612587347
24,"(3, 'elcajon', 15)","(3, 'elcajon', 15)",4.031856690435562,6.157561163742191,0.2541588138497431,0.2730251878823786
17,"(3, 'elcajon', 18)","(3, 'elcajon', 18)",3.668377365748731,4.184209287275542,0.23002112725667384,0.18588547707781733
10,"(3, 'elcajon', 20)","(3, 'elcajon', 20)",4.185981185299283,6.2382481171239625,0.2623845666034539,0.2772767765877849
18,"(3, 'shafter', 17)","(3, 'shafter', 17)",5.383428891316429,6.352340230545686,0.3932955946219679,0.2785753906171215
7,"(3, 'shafter', 19)","(3, 'shafter', 19)",6.135275528333785,7.585649949230072,0.44822303513246375,0.33266092825604004
19,"(3, 'shafter', 21)","(3, 'shafter', 21)",4.824434114019885,5.162403276232636,0.3524572761885172,0.22639192124570373
